neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm
Bang Kapi,13.76029,100.65074,1250,1,1,2022-09-30,365,1
Sathon,13.70979,100.52065,1300,3,2,2022-09-15,84,2
Thon buri,13.717228281972844,100.48258048252563,1200,15,1,2022-11-20,340,1
Bueng Kum,13.774389478694635,100.65957907306094,900,1,0,,180,0
Sathon,13.710500090494303,100.52004131216434,1714,1,7,2022-11-25,359,7
Phra Khanong,13.70393,100.60145,1251,1,10,2022-12-09,167,10
Thon buri,13.71721,100.48209,1200,15,4,2022-12-11,169,4
Phra Khanong,13.694,100.60741,2167,1,6,2022-12-12,351,6
Don Mueang,13.92206,100.60124,3964,1,0,,355,0
Bang Sue,13.81187,100.51945,900,7,6,2022-12-07,330,6
Ratchathewi,13.7503004,100.5555028,2527,3,6,2022-12-22,347,6
Ratchathewi,13.751,100.55659,1466,3,10,2022-12-09,347,10
Khlong Toei,13.72056,100.57888,1178,1,1,2022-12-08,361,1
Bang Khen,13.888174269670396,100.60336366295816,859,2,5,2022-12-13,347,5
Parthum Wan,13.74956,100.52791,1500,1,0,,355,0
Bang Khen,13.88817361872104,100.60336902737616,948,2,2,2022-09-05,353,2
Bang Khae,13.74532,100.4082,900,1,0,,365,0
Bang Khen,13.88832724322058,100.60299721736602,509,2,2,2022-08-24,359,2
Bang Khen,13.888194449099624,100.6033680215478,476,2,3,2022-11-03,351,3
Ratchathewi,13.75341,100.53259,5514,2,14,2022-12-13,208,14
Ratchathewi,13.748440141043837,100.55081502023776,1290,15,0,,355,0
Bang Na,13.664468065699433,100.61602766396,2797,1,3,2022-12-18,348,3
Vadhana,13.74438,100.55814,1500,18,0,,362,0
Bang Na,13.664446571155638,100.61601911210272,4014,1,3,2022-12-23,348,3
Bang Na,13.664465439259828,100.61602050987744,1714,1,3,2022-12-09,346,3
Vadhana,13.74425,100.5555,1751,5,4,2022-09-25,173,4
Wang Thong Lang,13.78095,100.61306,450,7,0,,83,0
Parthum Wan,13.7490717,100.5273636,1250,28,5,2022-12-12,327,5
Bang Rak,13.724208,100.5295088,4185,1,0,,365,0
Sathon,13.70961,100.52059,2100,1,11,2022-11-25,356,11
Sathon,13.71012,100.51905,2257,1,6,2022-12-06,358,6
Sathon,13.71096,100.51892,1324,1,2,2022-08-17,363,2
Vadhana,13.7146228,100.5935277,1457,30,0,,34,0
Phaya Thai,13.78027,100.53109,2250,1,2,2022-12-22,135,2
Vadhana,13.729510179563928,100.572447180748,825,1,3,2022-11-11,347,3
Chatu Chak,13.83429,100.57811,790,30,0,,365,0
Sathon,13.7111,100.52105,1380,1,3,2022-11-27,360,3
Khlong Toei,13.72256,100.58001,1200,1,0,,361,0
Sathon,13.70958,100.5204,1259,1,5,2022-12-18,362,5
Sathon,13.7098,100.51905,1144,1,3,2022-12-08,361,3
Khlong Toei,13.70572,100.59348,575,30,1,2022-12-22,268,1
Ratchathewi,13.7503004,100.5555028,1613,3,2,2022-10-04,361,2
Phra Nakhon,13.7604382,100.4982753,823,1,3,2022-11-13,363,3
Ratchathewi,13.7503004,100.5555028,1613,3,6,2022-12-10,361,6
Ratchathewi,13.751,100.55646,1466,3,1,2022-09-05,361,1
Vadhana,13.74392,100.55608,1760,5,10,2022-11-28,146,10
Vadhana,13.74192,100.5598,2500,1,0,,362,0
Parthum Wan,13.74715,100.54186,2471,28,1,2022-10-06,117,1
Ratchathewi,13.7493187,100.5438907,2100,30,1,2022-10-28,55,1
Vadhana,13.74243,100.55922,2500,1,0,,361,0
Bang Sue,13.8075834,100.5250488,1943,1,16,2022-12-24,279,16
Ratchathewi,13.7543434,100.5643455,950,1,6,2022-11-03,1,6
Khlong Toei,13.72635,100.5666,1929,1,1,2022-11-14,160,1
Khlong Toei,13.70901843915521,100.5985424,1786,1,4,2022-10-14,356,4
Bang Kapi,13.76096,100.65197,1190,1,2,2022-10-14,365,2
Ratchathewi,13.7503004,100.5555028,1613,3,6,2022-12-13,360,6
Khlong Toei,13.7304311,100.5696901,1514,60,0,,365,0
Khlong Toei,13.72341,100.56571,2210,2,11,2022-12-06,83,11
Bang Sue,13.819487,100.5310805,678,30,0,,332,0
Bang Na,13.67107,100.60415,1041,2,6,2022-12-12,305,6
Phra Khanong,13.70365,100.60262,1682,4,9,2022-12-15,68,9
Vadhana,13.73137,100.57623,2950,7,0,,358,0
Khlong Toei,13.72039,100.58051,999,1,2,2022-12-08,331,2
Vadhana,13.72799,100.58865,1457,4,8,2022-12-06,133,8
Sai Mai,13.8863035,100.6233129,600,1,0,,365,0
Khlong Toei,13.72448,100.56493,1801,1,10,2022-12-05,243,10
Khlong Toei,13.7259,100.56466,1756,1,4,2022-12-24,237,4
Phra Khanong,13.6798304,100.6241739,1069,60,0,,325,0
Vadhana,13.74681,100.55528,5127,1,4,2022-12-04,54,4
Phra Khanong,13.69107,100.61159,523,30,2,2022-12-02,321,2
Khlong Toei,13.72575,100.56693,1743,2,17,2022-12-17,305,17
Vadhana,13.74025,100.5658,5000,7,1,2022-09-04,166,1
Bang Khen,13.88999330052556,100.6071676249924,1426,1,5,2022-12-09,69,5
Khlong Toei,13.72553,100.56454,1700,2,17,2022-12-18,265,17
Don Mueang,13.92599,100.59925,1354,1,14,2022-12-28,174,14
Khlong San,13.71354,100.50187,1171,1,0,,365,0
Vadhana,13.74393,100.55721,1729,5,9,2022-11-23,173,9
Vadhana,13.74353,100.55455,3300,4,4,2022-11-27,164,4
Khlong Toei,13.73577,100.55894,4714,1,5,2022-12-15,342,5
Khlong Toei,13.71004,100.59739,1786,1,2,2022-12-07,358,2
Sathon,13.71161,100.52048,1975,1,4,2022-12-23,356,4
Khlong Toei,13.71508,100.58408,2099,1,8,2022-12-15,363,8
Vadhana,13.71751,100.58827,1621,2,6,2022-12-12,159,6
Suanluang,13.736877915466156,100.6429819460196,630,28,1,2022-11-10,261,1
Bang Khae,13.70555,100.42123,850,2,0,,356,0
Khlong Toei,13.71662,100.57563,1343,3,13,2022-12-27,324,13
Bang Na,13.67746,100.62863,1057,6,3,2022-12-12,360,3
Sathon,13.70962,100.51939,1144,1,2,2022-12-02,363,2
Huai Khwang,13.74714,100.58409,3086,3,0,,365,0
Vadhana,13.7363,100.56656,1618,1,4,2022-12-18,317,4
Vadhana,13.73857,100.56716,5570,2,9,2022-12-11,161,9
Vadhana,13.74182,100.58457,3000,1,0,,338,0
Bang Na,13.661102375485711,100.59947848320007,680,3,3,2022-11-12,144,3
Khlong Toei,13.72299,100.55992,4300,2,16,2022-12-26,135,16
Don Mueang,13.92544,100.59811,750,1,0,,363,0
Khlong Toei,13.73682,100.55718,1273,2,6,2022-11-08,319,6
Khlong Toei,13.70363,100.59585,450,1,1,2022-09-05,181,1
Khlong Toei,13.72301,100.57824,795,30,1,2022-11-14,39,1
Huai Khwang,13.75146,100.58869,770,3,1,2022-11-22,242,1
Khlong Toei,13.71613,100.58593,2099,1,9,2022-12-26,356,9
Khlong Toei,13.7365,100.55673,3086,1,6,2022-11-17,360,6
Bang Kapi,13.74754,100.60529,1250,1,0,,341,0
Khlong Toei,13.73514332299832,100.55786347301638,5114,1,4,2022-11-29,349,4
Bang Rak,13.72803,100.52962,2050,2,0,,361,0
Suanluang,13.7360783,100.6297379,6000,1,0,,365,0
Phra Nakhon,13.7580399,100.498786,790,1,0,,365,0
Vadhana,13.73831,100.56601,3378,3,9,2022-12-14,79,9
Vadhana,13.73806,100.56626,6172,3,13,2022-12-23,43,13
Vadhana,13.7382,100.56533,5109,3,15,2022-12-12,51,15
Bang Phlat,13.77384,100.48363,2800,1,0,,161,0
Ratchathewi,13.749725277024128,100.55581782013178,1250,3,1,2022-12-10,302,1
Ratchathewi,13.74924,100.55103,1164,3,1,2022-12-17,243,1
Khlong San,13.73129,100.50465,800,30,0,,342,0
Khlong Toei,13.72267,100.58039,999,1,1,2022-11-25,361,1
Vadhana,13.73816,100.55986,3393,1,7,2022-12-01,163,7
Thon buri,13.727051485867854,100.48753313720226,999,2,3,2022-12-17,40,3
Bang Rak,13.7263024,100.5268744,3150,30,1,2022-12-08,79,1
Bang Sue,13.8076,100.52002,1030,22,3,2022-12-06,209,3
Bang Phlat,13.79012,100.50455,820,14,9,2022-12-04,145,9
Vadhana,13.74429,100.55536,1744,5,7,2022-12-01,297,7
Khlong Toei,13.73514,100.55167,700,7,3,2022-12-12,351,3
Khlong Toei,13.73681,100.55154,850,7,6,2022-12-24,55,6
Bang Kapi,13.7698412,100.6363173,818,30,0,,365,0
Bang Phlat,13.79841,100.50879,2571,1,4,2022-11-06,344,4
Vadhana,13.73523,100.5639,850,1,7,2022-12-28,344,7
Khlong Toei,13.735109458765786,100.55790638836062,2043,1,12,2022-11-25,362,12
Khlong Toei,13.7361,100.55718,2536,1,7,2022-11-24,361,7
Ratchathewi,13.75135,100.55462,2527,3,3,2022-11-04,363,3
Sathon,13.71012,100.51889,2100,1,2,2022-12-23,354,2
Bang Rak,13.724208,100.5295088,3567,1,0,,358,0
Vadhana,13.74436,100.55755,1751,5,3,2022-12-10,175,3
Phra Nakhon,13.76166,100.50013,1090,1,1,2022-11-07,365,1
Khlong Toei,13.72621,100.56455,1969,1,10,2022-12-24,159,10
Vadhana,13.74412,100.5554,1764,5,8,2022-12-10,165,8
Phra Khanong,13.69172,100.6139,836,28,4,2022-11-15,297,4
Khlong Toei,13.72383,100.5657,1700,2,17,2022-11-28,259,17
Khlong San,13.71769,100.50937,2614,30,1,2022-11-19,295,1
Phra Khanong,13.690165182856008,100.6045849398966,2200,7,3,2022-12-16,332,3
Lat Phrao,13.81764273286965,100.59610248836064,900,1,4,2022-11-04,365,4
Khlong San,13.71812,100.51,1929,23,0,,313,0
Sathon,13.70962,100.51959,1259,1,6,2022-11-26,348,6
Bang Khen,13.86643,100.62655,499,1,5,2022-12-26,364,5
Samphanthawong,13.74216,100.50925,2146,1,4,2022-11-21,352,4
Vadhana,13.72678,100.58831,950,2,2,2022-11-30,362,2
Sathon,13.70812,100.51827,1100,1,7,2022-12-12,359,7
Sathon,13.71325,100.52036,1086,1,8,2022-12-15,335,8
Sathon,13.71214,100.52032,976,1,3,2022-10-17,338,3
Bangkok Yai,13.74535737709984,100.48514328897,2043,1,1,2022-10-05,364,1
Suanluang,13.73519,100.62241,750,1,0,,352,0
Chatu Chak,13.83229,100.56004,700,2,3,2022-11-28,155,3
Chatu Chak,13.833042399695794,100.55970031768084,650,2,1,2022-10-15,178,1
Chatu Chak,13.8318841,100.5591756,700,3,1,2022-09-24,137,1
Chatu Chak,13.83265,100.55868,700,2,0,,172,0
Suanluang,13.712181095125308,100.6030663313559,1404,1,3,2022-12-26,200,3
Khlong Toei,13.71736,100.58396,3300,2,11,2022-12-17,162,11
Khlong Toei,13.72282,100.56047,1700,1,7,2022-12-12,198,7
Khlong Toei,13.71713,100.58372,3350,2,10,2022-12-18,158,10
Khlong Toei,13.72411,100.57335,1581,7,16,2022-12-13,241,16
Khlong Toei,13.71794,100.58563,3400,2,14,2022-12-25,154,14
Phra Nakhon,13.7604382,100.4982753,474,1,3,2022-12-11,362,3
Parthum Wan,13.74543,100.53636,3499,30,1,2022-12-05,75,1
Ratchathewi,13.75003,100.54287,2457,29,2,2022-11-30,284,2
Vadhana,13.74043,100.55839,2500,28,0,,60,0
Don Mueang,13.94344,100.61179,1180,1,0,,364,0
Phra Nakhon,13.76574,100.49781,3714,1,1,2022-08-16,365,1
Ratchathewi,13.74956,100.55453,950,30,2,2022-12-02,330,2
Huai Khwang,13.75625,100.56769,5107,35,8,2022-12-18,87,8
Khlong Toei,13.73363,100.55596,3286,1,8,2022-12-07,332,8
Phra Khanong,13.70333,100.60159,1105,1,12,2022-12-16,318,12
Vadhana,13.74749,100.56361,2419,4,11,2022-11-27,330,11
Vadhana,13.732385,100.575336,957,3,1,2022-10-23,364,1
Chatu Chak,13.85024,100.55703,886,2,1,2022-12-02,21,1
Phaya Thai,13.77439,100.53517,4429,1,1,2022-10-14,364,1
Khlong Toei,13.735164167058798,100.55790638836062,2300,1,4,2022-11-24,361,4
Phra Khanong,13.70331,100.60186,1863,1,6,2022-12-13,357,6
Bangkok Yai,13.73756484251743,100.48541282698366,1500,1,0,,180,0
Vadhana,13.74261,100.55697,2243,1,26,2022-12-22,342,26
Huai Khwang,13.77345,100.58869,550,2,4,2022-11-21,334,4
Parthum Wan,13.7493,100.51902,1414,1,0,,259,0
Sathon,13.71547,100.51348,1751,1,0,,363,0
Phra Nakhon,13.76418,100.5022,6357,1,0,,146,0
Vadhana,13.732385392737973,100.57533601188216,943,3,1,2022-12-01,297,1
Phra Nakhon,13.7604382,100.4982753,474,1,11,2022-12-19,351,11
Parthum Wan,13.750305157288436,100.5201461661316,1037,1,1,2022-12-21,295,1
Vadhana,13.74016,100.58139,1200,1,3,2022-11-04,271,3
Ratchathewi,13.75717861201921,100.53542502542749,2200,2,7,2022-12-27,161,7
Bang Sue,13.81162,100.52135,1000,10,2,2022-12-09,352,2
Khlong Toei,13.71459,100.59126,1149,30,1,2022-12-21,307,1
Bang Rak,13.72583,100.53023,1068,1,1,2022-09-30,14,1
Bang Rak,13.72435,100.53172,1068,1,2,2022-11-09,14,2
Vadhana,13.743568441540946,100.553878583014,1900,1,3,2022-11-21,86,3
Huai Khwang,13.75123,100.58906,770,4,1,2022-10-23,221,1
Rat Burana,13.68755,100.49294,1571,2,0,,361,0
Wang Thong Lang,13.77884,100.61299,1490,2,1,2022-12-20,365,1
Suanluang,13.71123,100.6037,1200,5,0,,46,0
Ratchathewi,13.754884132533292,100.56453164666893,1286,30,0,,86,0
Khlong Toei,13.70257,100.59023,889,5,1,2022-11-03,329,1
Khlong Toei,13.71317,100.58588,1889,1,7,2022-12-12,353,7
Vadhana,13.73667,100.58747,2242,1,0,,365,0
Huai Khwang,13.75555,100.56744,3000,1,7,2022-11-21,346,7
Khlong Toei,13.724779501271591,100.56632806082152,1727,1,12,2022-12-25,79,12
Khlong Toei,13.72383,100.56512,1280,3,5,2022-12-26,322,5
Vadhana,13.74245,100.56115,980,30,1,2022-09-25,41,1
Khlong Toei,13.73604,100.55966,3229,1,4,2022-12-01,158,4
Thon buri,13.7175541,100.4831842,1174,15,1,2022-12-17,158,1
Phasi Charoen,13.71527,100.44779,1100,28,1,2022-10-26,151,1
Bang Rak,13.72588,100.53329,589,1,14,2022-12-26,256,14
Khlong Toei,13.7168468,100.5847812,2099,1,6,2022-12-24,362,6
Phra Nakhon,13.7541287,100.5031563,1489,1,4,2022-11-26,336,4
Vadhana,13.73983,100.5657,3365,3,10,2022-12-01,56,10
Bang Khen,13.890091784896702,100.6072007423279,1426,1,8,2022-12-11,138,8
Khlong Toei,13.72392,100.57798,1745,3,6,2022-10-04,230,6
Khlong Toei,13.728,100.57151,2957,1,2,2022-11-29,365,2
Lat Krabang,13.76612,100.72085,1001,1,1,2022-12-12,365,1
Khlong Toei,13.73713,100.55996,2513,7,8,2022-12-13,351,8
Huai Khwang,13.76033,100.56839,2714,1,10,2022-12-03,77,10
Khlong Toei,13.72406,100.57684,1745,3,3,2022-11-05,230,3
Khlong Toei,13.71645,100.58566,2026,2,10,2022-12-23,160,10
Lak Si,13.85592,100.54548,617,1,1,2022-12-02,364,1
Bang Khun thain,13.6506,100.44363,1536,1,0,,365,0
Bang Rak,13.72346,100.53095,1415,1,0,,365,0
Bang Phlat,13.79065,100.5031,1141,1,0,,361,0
Phra Nakhon,13.76624,100.50338,867,1,0,,285,0
Lat Krabang,13.72646,100.71898,950,1,6,2022-12-18,363,6
Khlong Toei,13.724647874023615,100.56563507207493,1186,1,7,2022-12-16,162,7
Vadhana,13.74604,100.55672,1657,30,0,,342,0
Phra Nakhon,13.76029,100.50085,1364,1,0,,348,0
Wang Thong Lang,13.7667846,100.6029992,5246,30,0,,244,0
Parthum Wan,13.74517,100.53507,3685,22,2,2022-11-14,89,2
Parthum Wan,13.74589,100.53435,3516,29,1,2022-09-18,60,1
Vadhana,13.73013,100.57353,1990,1,0,,365,0
Thon buri,13.71686,100.48365,647,3,0,,12,0
Bang Sue,13.81216,100.51911,1000,10,0,,330,0
Phra Nakhon,13.7612,100.50108,807,1,18,2022-12-26,312,18
Wang Thong Lang,13.7671335,100.6022308,2837,1,0,,346,0
Vadhana,13.73182,100.57616,11309,1,16,2022-12-05,217,16
Parthum Wan,13.74745,100.53454,3714,28,2,2022-10-07,364,2
Khlong Toei,13.71839,100.57733,1300,3,8,2022-12-25,334,8
Khlong San,13.72934,100.50656,1729,7,2,2022-12-26,90,2
Vadhana,13.74635,100.55921,6202,2,5,2022-12-04,165,5
Bang Na,13.67886774123148,100.61587113887072,850,7,0,,271,0
Bang Na,13.66567,100.60279,991,7,2,2022-11-27,304,2
Din Daeng,13.7557494,100.5632598,1590,1,12,2022-12-04,159,12
Chatu Chak,13.82339,100.56283,1250,2,22,2022-12-22,291,22
Vadhana,13.70537,100.60254,1685,1,3,2022-09-18,58,3
Vadhana,13.74249,100.56584,1806,5,2,2022-12-14,360,2
Vadhana,13.73833,100.56236,1959,5,7,2022-12-08,358,7
Huai Khwang,13.74962,100.59028,779,4,4,2022-11-24,246,4
Phra Nakhon,13.75949,100.50168,1364,1,7,2022-12-16,334,7
Sathon,13.71788,100.51997,1800,7,4,2022-10-23,232,4
Wang Thong Lang,13.766716675356948,100.60250974973752,1531,1,0,,365,0
Sathon,13.7081,100.51891,1084,3,8,2022-12-04,241,8
Vadhana,13.71093335629069,100.60239739716052,1100,30,2,2022-12-01,321,2
Khlong Toei,13.71101,100.58309,826,14,3,2022-12-12,322,3
Khlong Toei,13.71046,100.58283,826,14,0,,332,0
Khlong Toei,13.70901,100.58296,797,14,5,2022-12-13,331,5
Vadhana,13.7393,100.56055,2543,7,1,2022-12-08,320,1
Nong Khaem,13.66783,100.3453,500,1,0,,90,0
Vadhana,13.71261,100.59874,709,30,0,,292,0
Parthum Wan,13.743651953622614,100.5497349343933,7214,1,0,,163,0
Don Mueang,13.9152712,100.5856286,650,2,2,2022-11-26,304,2
Khlong Toei,13.72354,100.56201,3500,2,13,2022-12-20,166,13
Khlong Toei,13.72262,100.55995,3400,2,10,2022-12-10,166,10
Din Daeng,13.75533973184664,100.56434623897076,1100,25,1,2022-10-06,290,1
Khlong Toei,13.72281,100.56173,4500,2,5,2022-11-27,153,5
Khlong Toei,13.72232,100.56205,2400,2,7,2022-12-24,174,7
Khlong Toei,13.72406,100.56134,2500,2,10,2022-11-30,155,10
Lat Phrao,13.81996,100.60667,880,1,0,,180,0
Parthum Wan,13.74625,100.5475,1016,1,11,2022-12-21,346,11
Khlong Toei,13.72386,100.57474,1581,7,7,2022-11-21,241,7
Bang Na,13.672032001265745,100.6033345155305,1300,30,3,2022-12-10,35,3
Sathon,13.70738,100.51867,1084,3,6,2022-11-12,241,6
Vadhana,13.74295,100.55755,1760,5,11,2022-11-28,138,11
Samphanthawong,13.739585376880562,100.50885200500488,1400,1,0,,365,0
Don Mueang,13.91402,100.59446,890,1,1,2022-10-03,364,1
Khlong Toei,13.7307,100.56808,1500,1,12,2022-11-28,325,12
Bang Na,13.67409,100.60374,700,20,0,,325,0
Vadhana,13.72142,100.5867,1250,1,2,2022-10-11,360,2
Phra Nakhon,13.7604382,100.4982753,474,1,1,2022-11-12,351,1
Khlong Toei,13.73458,100.55759,2406,1,15,2022-12-14,60,15
Phra Khanong,13.69112,100.60899,2831,3,5,2022-12-17,24,5
Lat Krabang,13.72588130925664,100.73484159999998,2959,31,0,,361,0
Suanluang,13.73788,100.64164,1372,1,1,2022-11-20,364,1
Din Daeng,13.77085,100.56931,750,1,1,2022-11-07,354,1
Din Daeng,13.7699,100.56967,820,1,0,,354,0
Din Daeng,13.77085,100.56931,1000,1,0,,365,0
Khlong Toei,13.708904513180643,100.59872801367814,1893,1,6,2022-12-23,357,6
Suanluang,13.72088,100.6204,1676,1,2,2022-12-05,361,2
Huai Khwang,13.76959,100.57996,1400,1,0,,358,0
Phra Khanong,13.70388,100.60198,1072,1,4,2022-12-17,167,4
Vadhana,13.74762217246668,100.55825035533825,1586,30,0,,80,0
Phra Khanong,13.70363,100.60162,1341,1,1,2022-10-05,162,1
Ratchathewi,13.74941,100.54812,1800,30,0,,45,0
Phra Khanong,13.70365,100.60106,1145,1,0,,162,0
Huai Khwang,13.76997,100.58183,1400,1,1,2022-09-17,357,1
Bang Sue,13.82229437913776,100.53688880056144,850,7,3,2022-11-26,279,3
Vadhana,13.739266901224834,100.5685958736422,1223,2,8,2022-12-21,295,8
Vadhana,13.73965,100.56185,2100,2,13,2022-12-15,44,13
Sathon,13.71764,100.51585,650,2,6,2022-11-19,301,6
Khlong Toei,13.72235,100.57816,999,1,2,2022-11-23,344,2
Khlong Toei,13.72249,100.57857,1114,1,0,,332,0
Vadhana,13.71671,100.59296,11414,3,3,2022-12-12,355,3
Vadhana,13.71473,100.59387,1407,28,4,2022-11-13,339,4
Vadhana,13.74737,100.55183,800,4,6,2022-11-12,274,6
Khlong San,13.73056,100.50851,3600,30,1,2022-11-15,84,1
Suanluang,13.70793,100.61064,1250,1,0,,365,0
Ratchathewi,13.75227,100.53382,3307,24,0,,91,0
Ratchathewi,13.75205,100.56392,800,28,1,2022-12-11,278,1
Parthum Wan,13.743904539938333,100.54995319259034,1900,30,0,,365,0
Khlong Toei,13.71321,100.58181,450,3,2,2022-09-30,173,2
Phra Khanong,13.6909748,100.6145748,4950,1,0,,365,0
Khlong Toei,13.70759,100.59976,1290,14,1,2022-11-29,31,1
Vadhana,13.71866,100.58981,2000,28,0,,188,0
Ratchathewi,13.7503004,100.5555028,4193,2,2,2022-11-15,352,2
Khlong Toei,13.7376873,100.5533109,2174,1,1,2022-10-25,340,1
Bang Na,13.66109,100.60482,1100,1,10,2022-12-25,358,10
Huai Khwang,13.75682,100.56937,1523,5,8,2022-12-10,80,8
Suanluang,13.73735,100.64343,1600,10,2,2022-12-13,43,2
Vadhana,13.73618,100.56686,5498,3,2,2022-12-04,167,2
Vadhana,13.73447,100.56648,4928,2,2,2022-11-27,169,2
Khlong Toei,13.705393413674765,100.5923830345273,570,30,1,2022-11-05,325,1
Vadhana,13.74299,100.55277,1500,1,0,,91,0
Vadhana,13.7433,100.55491,1500,1,2,2022-11-26,365,2
Sathon,13.71319,100.52175,1500,1,6,2022-12-08,350,6
Bang Khae,13.7263,100.42009,1200,1,0,,365,0
Huai Khwang,13.778289971999708,100.57390464305958,1809,3,3,2022-12-14,346,3
Bang Sue,13.8025952,100.5362849,600,1,4,2022-11-20,140,4
Vadhana,13.74704,100.55771,5588,2,8,2022-12-17,169,8
Parthum Wan,13.7489082,100.5304544,1000,45,0,,196,0
Sathon,13.70581,100.51642,2221,1,4,2022-11-23,156,4
Sathon,13.72224,100.55032,3200,30,9,2022-12-07,28,9
Sathon,13.71282,100.52132,1157,1,2,2022-12-12,176,2
Sathon,13.71464,100.51957,1146,1,18,2022-12-14,175,18
Parthum Wan,13.74145,100.54249,3900,1,0,,359,0
Sathon,13.71424,100.51944,1146,1,0,,175,0
Sathon,13.71404,100.52147,1146,1,7,2022-12-01,175,7
Sathon,13.71402,100.52004,1146,1,1,2022-11-04,175,1
Phasi Charoen,13.70104,100.4303,3500,1,1,2022-12-17,345,1
Vadhana,13.731763,100.597116,3600,1,0,,365,0
Phra Nakhon,13.7542654,100.5031075,1426,1,4,2022-10-19,305,4
Phra Nakhon,13.75386,100.50433,2312,1,1,2022-10-03,298,1
Vadhana,13.73964,100.56232,2150,1,24,2022-12-26,285,24
Phra Nakhon,13.76212,100.50099,4800,1,14,2022-12-25,307,14
Phra Khanong,13.69122,100.61466,919,2,0,,269,0
Khlong Toei,13.734530085196289,100.55434662848712,2500,2,0,,326,0
Vadhana,13.72093,100.605,3290,1,6,2022-12-14,289,6
Suanluang,13.72422,100.6412,790,1,0,,365,0
Ratchathewi,13.75047,100.54957,1800,30,2,2022-11-26,38,2
Ratchathewi,13.75704,100.53582,2500,3,8,2022-12-06,137,8
Khlong Toei,13.711616007932308,100.59479609874192,1229,2,7,2022-12-20,317,7
Suanluang,13.70988,100.60494,1000,7,0,,322,0
Khlong Toei,13.7242843,100.5771389,1643,7,4,2022-12-13,299,4
Huai Khwang,13.75572,100.56859,1623,2,16,2022-12-21,141,16
Chatu Chak,13.82495,100.53991,5000,2,1,2022-09-15,117,1
Huai Khwang,13.75472,100.56667,1623,2,7,2022-12-01,142,7
Suanluang,13.70949,100.61244,8060,1,0,,361,0
Suanluang,13.70742,100.61127,3980,1,1,2022-09-30,361,1
Vadhana,13.72844,100.58701,900,30,0,,359,0
Ratchathewi,13.75516,100.56338,889,7,1,2022-10-09,141,1
Vadhana,13.7152,100.59536,1800,3,0,,316,0
Khlong Toei,13.71699,100.58472,1250,30,0,,329,0
Suanluang,13.70929,100.61154,6257,1,0,,355,0
Sathon,13.71015,100.52099,1409,1,7,2022-11-01,358,7
Ratchathewi,13.74923,100.5559,2880,2,0,,352,0
Ratchathewi,13.75039,100.54461,1400,28,1,2022-11-17,311,1
Khlong Toei,13.72332,100.57759,1407,1,7,2022-12-02,170,7
Bang Sue,13.8133,100.51918,1000,20,4,2022-12-25,365,4
Khlong Toei,13.72186,100.57739,1443,1,23,2022-12-21,354,23
Khlong Toei,13.7356367,100.5577985,2800,1,3,2022-09-26,352,3
Ratchathewi,13.74954,100.55483,1441,2,5,2022-12-07,357,5
Ratchathewi,13.74913,100.55454,1451,2,1,2022-09-13,357,1
Khlong Toei,13.73152,100.56302,1304,4,6,2022-12-16,21,6
Phaya Thai,13.76888,100.54054,1300,2,2,2022-10-22,169,2
Ratchathewi,13.74977,100.54483,1300,28,0,,355,0
Khlong Toei,13.72768,100.56784,936,30,1,2022-10-24,319,1
Khlong San,13.72888,100.49469,4471,1,3,2022-12-04,353,3
Vadhana,13.73323,100.58546,7857,1,1,2022-10-13,365,1
Vadhana,13.73999,100.56755,5704,2,8,2022-12-09,162,8
Suanluang,13.70837,100.60587,650,1,2,2022-11-06,319,2
Bang Rak,13.725791335234558,100.53826822574766,2357,1,2,2022-11-13,364,2
Suanluang,13.70954,100.60598,650,1,10,2022-12-06,352,10
Phra Khanong,13.69793,100.60881,7179,1,23,2022-12-23,250,23
Bang Rak,13.72635,100.53925,2357,1,5,2022-12-03,364,5
Khlong Toei,13.74065,100.55328,2871,1,18,2022-12-10,215,18
Vadhana,13.73849,100.56765,2571,2,1,2022-12-04,161,1
Vadhana,13.72739,100.57919,1000,7,2,2022-11-30,309,2
Din Daeng,13.76882,100.56908,1483,1,0,,86,0
Vadhana,13.73847,100.56735,2700,2,3,2022-12-08,163,3
Sathon,13.72109,100.52893,3527,2,4,2022-11-28,361,4
Lat Krabang,13.73542,100.72157,1999,1,0,,276,0
Vadhana,13.74006,100.56601,2571,2,3,2022-11-12,156,3
Vadhana,13.73828,100.5663,2571,2,0,,164,0
Vadhana,13.73819,100.56733,2571,2,1,2022-09-18,160,1
Vadhana,13.73839,100.56768,5000,2,1,2022-11-20,135,1
Vadhana,13.74023,100.56593,5000,2,1,2022-12-05,155,1
Vadhana,13.73873,100.5654,5000,2,3,2022-11-06,144,3
Chatu Chak,13.8167,100.56584,1090,14,0,,162,0
Vadhana,13.73883,100.56745,5000,2,0,,169,0
Sathon,13.72096,100.52898,3740,2,1,2022-11-18,361,1
Vadhana,13.73872,100.56558,5000,2,2,2022-11-05,159,2
Khlong Toei,13.73683,100.55877,2057,1,4,2022-11-20,358,4
Sathon,13.71946,100.52906,4964,2,1,2022-11-21,360,1
Vadhana,13.74278,100.55596,1846,5,11,2022-11-20,163,11
Vadhana,13.73946,100.56197,2150,1,11,2022-12-19,319,11
Suanluang,13.734802929233645,100.64137196560672,1200,1,0,,365,0
