neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm
Din Daeng,13.78542,100.56921,456,1,4,2017-04-16,353,0
Phra Khanong,13.70482,100.60336,1900,3,16,2022-12-26,230,3
Vadhana,13.7361,100.5704,9999,2,25,2022-12-07,358,2
Phaya Thai,13.79203,100.54336,1457,30,153,2018-07-02,76,0
Bang Rak,13.72153,100.5286,1212,5,25,2020-03-15,178,0
Bang Rak,13.73208,100.52062,1500,30,7,2019-07-22,234,0
Bang Rak,13.73397,100.52272,2100,30,7,2017-10-25,336,0
Bang Rak,13.73229,100.52286,1700,30,5,2019-03-19,336,0
Khlong Toei,13.72752,100.55957,2000,2,65,2022-06-21,177,1
Bang Rak,13.73244,100.52204,1800,30,21,2020-04-11,336,0
Sathon,13.71711,100.51524,490,2,27,2019-08-01,365,0
Bang Rak,13.73232,100.52336,2700,30,8,2015-03-25,327,0
Bang Rak,13.73241,100.52168,2100,30,23,2018-01-11,357,0
Bang Rak,13.73195,100.52318,3657,30,33,2022-10-01,330,1
Yan na wa,13.70249,100.53757,7343,1,1,2019-09-22,349,0
Bang Rak,13.73288,100.52328,2450,30,15,2022-11-20,320,2
Lat Krabang,13.71944,100.73128,1316,1,63,2020-02-28,365,0
Sathon,13.72066,100.5471,800,1,193,2020-10-31,355,0
Bangkok Yai,13.74266,100.47679,1100,1,8,2020-01-23,354,0
Bangkok Yai,13.74286,100.47575,1600,1,4,2018-03-28,365,0
Bangkok Yai,13.74162,100.47567,1400,1,2,2022-11-24,365,2
Bangkok Yai,13.74308,100.47737,2700,1,1,2016-01-10,365,0
Sathon,13.72067,100.54706,750,1,181,2022-11-21,290,8
Vadhana,13.73757,100.56994,9999,2,24,2022-12-22,359,2
Khlong Toei,13.71747,100.5804,1300,1,1,2018-08-20,365,0
Suanluang,13.73749,100.63279,8000,1,14,2018-07-04,365,0
Suanluang,13.73618,100.63117,950,1,13,2018-02-19,364,0
Bang Na,13.68401,100.61513,1905,2,60,2022-12-20,326,10
Suanluang,13.72351,100.61641,1835,10,0,,365,0
Suanluang,13.7447,100.60093,1801,30,3,2017-12-29,312,0
Khlong Toei,13.70597,100.59998,1050,1,1,2017-08-25,358,0
Sathon,13.71261,100.51296,800,1,251,2022-12-12,257,30
Parthum Wan,13.73954,100.53954,1351,1,53,2017-11-05,241,0
